"Season","TeamID","Team","Conference","Number","Player","Yr","Pos","Ht","GP","GS","S","MS","Kills","Errors","Total Attacks","Hit Pct","Assists","Aces","SErr","Digs","RErr","Block Solos","Block Assists","BErr","Tripl Dbl","PTS","BHE"
"2025-2026","613448","Ramapo","Skyline",1,"Jan Tracz","So","","-",26,26,90,,312,140,712,0.242,10,26,69,139,,17,27,2,,368.5,
"2025-2026","613448","Ramapo","Skyline",2,"Logan Lindstrom","So","","-",4,1,8,,3,,10,0.3,1,1,2,4,,,,,,4,
"2025-2026","613448","Ramapo","Skyline",3,"Abe Yap","So","","-",8,0,15,,,,,,1,,,7,1,,,,,,
"2025-2026","613448","Ramapo","Skyline",4,"Gabriel Azevedo","Fr","OH","6-2",1,0,1,,,,1,0,,,,,,,,,,,
"2025-2026","613448","Ramapo","Skyline",5,"Ryan Westrich","Jr","S","6-0",26,2,92,,3,,11,0.273,50,38,63,32,,,,,,41,
"2025-2026","613448","Ramapo","Skyline",6,"Amari Menter","So","OH","6-3",18,18,65,,206,102,485,0.214,7,14,38,72,11,4,10,7,,229,
"2025-2026","613448","Ramapo","Skyline",7,"Joseph Duca","Jr","S","5-11",25,24,82,,35,23,111,0.108,716,41,65,133,,4,12,5,,86,1
"2025-2026","613448","Ramapo","Skyline",8,"Sebastian Rodriguez","Jr","OH","6-5",14,3,36,,50,30,140,0.143,7,11,29,36,19,,2,3,,62,
"2025-2026","613448","Ramapo","Skyline",9,"Sean McNally","Jr","L","5-9",24,0,85,,4,1,15,0.2,42,,,199,23,,,,,4,
"2025-2026","613448","Ramapo","Skyline",10,"Xavier Fabre","Fr","MB","6-3",26,24,87,,117,29,246,0.358,7,5,27,16,1,23,33,14,,161.5,
"2025-2026","613448","Ramapo","Skyline",11,"Josh Barrett","Jr","OH","5-11",15,8,35,,68,43,204,0.123,4,11,18,27,5,2,4,,,83,
"2025-2026","613448","Ramapo","Skyline",12,"Johan Cortina","Fr","S","5-7",6,0,12,,,,,,2,,3,6,3,,,,,,
"2025-2026","613448","Ramapo","Skyline",14,"Mateo Roman","So","","-",2,0,3,,3,1,8,0.25,,,,,,,,,,3,
"2025-2026","613448","Ramapo","Skyline",15,"Caleb Ford","Jr","MB","6-2",23,20,73,,69,27,174,0.241,7,2,7,28,,10,32,3,,97,1
"2025-2026","613448","Ramapo","Skyline",20,"Justin Hidalgo","So","","-",24,20,71,,112,60,300,0.173,9,9,17,79,19,3,14,2,,131,
"2025-2026","613448","Ramapo","Skyline",21,"Trevor Van Valkenburgh","So","","-",11,4,18,,33,18,84,0.179,1,2,10,19,,1,4,2,,38,
"2025-2026","613448","Ramapo","Skyline",22,"Sebastian Hernandez","Fr","S","6-0",12,1,20,,,2,4,-0.5,73,10,14,11,,,3,1,,11.5,
"2025-2026","613448","Ramapo","Skyline",25,"Jake Farley","Fr","MB","6-3",11,5,19,,13,9,34,0.118,1,1,12,5,,2,3,,,17.5,
"2025-2026","613448","Ramapo","Skyline",,"TEAM","-","-","-",,,,,,,,,,,,,44,,,,,,
"2025-2026","613448","Ramapo","Skyline",,"Totals","-","-","-",,,93,,1028,485,2538,0.214,938,171,374,813,126,66,144,39,26,1337,2
"2025-2026","613448","Ramapo","Skyline",,"Opponent Totals","-","-","-",,,93,,941,431,2359,0.216,882,126,352,835,171,53,210,24,25,1225,5
